code|division|grupo|clase|categoria|name|nombre
03222314|03000000|03200000|03220000|03222000|03222314|Frambuesas
03222315|03000000|03200000|03220000|03222000|03222315|Arándanos
03222320|03000000|03200000|03220000|03222000|03222320|Manzanas, peras y membrillos
03222321|03000000|03200000|03220000|03222000|03222321|Manzanas
03222322|03000000|03200000|03220000|03222000|03222322|Peras
03222323|03000000|03200000|03220000|03222000|03222323|Membrillos
03222330|03000000|03200000|03220000|03222000|03222330|Frutas de hueso
03222331|03000000|03200000|03220000|03222000|03222331|Albaricoques
03222332|03000000|03200000|03220000|03222000|03222332|Melocotones
03222333|03000000|03200000|03220000|03222000|03222333|Cerezas
03222334|03000000|03200000|03220000|03222000|03222334|Ciruelas
03222340|03000000|03200000|03220000|03222000|03222340|Uvas
03222341|03000000|03200000|03220000|03222000|03222341|Uvas de mesa
03222342|03000000|03200000|03220000|03222000|03222342|Uvas de vino
03222400|03000000|03200000|03220000|03222000|03222400|Aceitunas
03300000|03000000|03300000|03300000|03300000|03300000|Productos de la ganadería, la caza y la pesca
03310000|03000000|03300000|03310000|03310000|03310000|Pescado, crustáceos y productos acuáticos
03311000|03000000|03300000|03310000|03311000|03311000|Pescado
03311100|03000000|03300000|03310000|03311000|03311100|Pescado plano
03311110|03000000|03300000|03310000|03311000|03311110|Lenguado
03311120|03000000|03300000|03310000|03311000|03311120|Solla
03311200|03000000|03300000|03310000|03311000|03311200|Pescados de la familia del bacalao
03311210|03000000|03300000|03310000|03311000|03311210|Bacalao
03311220|03000000|03300000|03310000|03311000|03311220|Abadejo
03311230|03000000|03300000|03310000|03311000|03311230|Merluza
03311240|03000000|03300000|03310000|03311000|03311240|Eglefino
03311300|03000000|03300000|03310000|03311000|03311300|Arenque
03311400|03000000|03300000|03310000|03311000|03311400|Atún
03311500|03000000|03300000|03310000|03311000|03311500|Merlán
03311600|03000000|03300000|03310000|03311000|03311600|Morralla
03311700|03000000|03300000|03310000|03311000|03311700|Salmón
03312000|03000000|03300000|03310000|03312000|03312000|Crustáceos
03312100|03000000|03300000|03310000|03312000|03312100|Ostras
03312200|03000000|03300000|03310000|03312000|03312200|Moluscos
03312300|03000000|03300000|03310000|03312000|03312300|Invertebrados acuáticos
03313000|03000000|03300000|03310000|03313000|03313000|Productos acuáticos
03313100|03000000|03300000|03310000|03313000|03313100|Corales o productos similares
03313200|03000000|03300000|03310000|03313000|03313200|Esponjas naturales
03313300|03000000|03300000|03310000|03313000|03313300|Algas marinas
03313310|03000000|03300000|03310000|03313000|03313310|Algas
03320000|03000000|03300000|03320000|03320000|03320000|Ganado y animales pequeños
03321000|03000000|03300000|03320000|03321000|03321000|Ganado bovino
03321100|03000000|03300000|03320000|03321000|03321100|Bovinos adultos
03321200|03000000|03300000|03320000|03321000|03321200|Terneros
03322000|03000000|03300000|03320000|03322000|03322000|Ganado no bovino
03322100|03000000|03300000|03320000|03322000|03322100|Ovejas
03322200|03000000|03300000|03320000|03322000|03322200|Cabras
03322300|03000000|03300000|03320000|03322000|03322300|Caballos
03323000|03000000|03300000|03320000|03323000|03323000|Cerdos
03324000|03000000|03300000|03320000|03324000|03324000|Aves de corral vivas
03325000|03000000|03300000|03320000|03325000|03325000|Animales pequeños
03325100|03000000|03300000|03320000|03325000|03325100|Conejos
03325200|03000000|03300000|03320000|03325000|03325200|Liebres
03330000|03000000|03300000|03330000|03330000|03330000|Productos de animales de granja
03331000|03000000|03300000|03330000|03331000|03331000|Leche fresca de oveja y de cabra
03331100|03000000|03300000|03330000|03331000|03331100|Leche de oveja
03331200|03000000|03300000|03330000|03331000|03331200|Leche de cabra
03332000|03000000|03300000|03330000|03332000|03332000|Lana y pelo de animales
03332100|03000000|03300000|03330000|03332000|03332100|Lana de esquila
03332200|03000000|03300000|03330000|03332000|03332200|Pelo de animal
03333000|03000000|03300000|03330000|03333000|03333000|Leche fresca de vaca
