code,categoria,nombre
15842400,15842000,"Frutas, frutos de cáscara o cáscaras de fruta conservados con azúcar"
15851100,15851000,Pastas alimenticias sin cocer
15851200,15851000,Pastas alimenticias y cuscús preparados
15851210,15851000,Pastas alimenticias preparadas
15851220,15851000,Pastas alimenticias rellenas
15851230,15851000,Lasañas
15851250,15851000,Cuscús
15851290,15851000,Pastas alimenticias enlatadas
15861100,15861000,Café tostado
15861200,15861000,Café descafeinado
15863100,15863000,Té verde
15863200,15863000,Té negro
15864100,15864000,Bolsitas de té
15871100,15871000,Vinagre y sucedáneos del vinagre
15871110,15871000,Vinagre o equivalente
15871200,15871000,"Salsas, condimentos compuestos y sazonadores compuestos"
15871210,15871000,Salsa de soja
15871230,15871000,Ketchup
15871250,15871000,Mostaza
15871260,15871000,Salsas
15871270,15871000,Condimentos compuestos
15871273,15871000,Mayonesa
15871274,15871000,Productos para untar bocadillos
15871279,15871000,Chutney
15872100,15872000,Pimienta
15872200,15872000,Especias
15872300,15872000,Hierbas
15872400,15872000,Sal
15872500,15872000,Jengibre
15891100,15891000,Sopas de carne
15891200,15891000,Sopas de pescado
15891300,15891000,Sopas compuestas
15891400,15891000,Sopas
15891410,15891000,Sopas instantáneas
15891500,15891000,Caldos
15891600,15891000,Concentrados de caldo
15891610,15891000,Caldos instantáneos
15891900,15891000,Sopas de verduras
15892100,15892000,Jugos vegetales
15892200,15892000,Extractos vegetales
15892400,15892000,Espesantes
15893100,15893000,Mezclas para comidas
15893200,15893000,Mezclas para postres
15893300,15893000,Mezclas para salsas
15894100,15894000,Comidas vegetarianas
15894200,15894000,Comidas preparadas
15894210,15894000,Comidas para colegios
15894220,15894000,Comidas para hospitales
15894300,15894000,Bandejas de comida preparada
15894400,15894000,Aperitivos
15894500,15894000,Productos para máquinas automáticas distribuidoras
15894600,15894000,Alimentos para bocadillos
15894700,15894000,Comestibles finos preparados
15895100,15895000,Hamburguesas
15897100,15897000,Raciones de campaña
15897200,15897000,Productos enlatados
15897300,15897000,Paquetes de comida
15911100,15911000,Aguardientes
15911200,15911000,Licores
15931100,15931000,Vino espumoso
15931200,15931000,Vino de mesa
15931300,15931000,Oporto
15931400,15931000,Vino de Madeira
15931500,15931000,Mosto de uva
15931600,15931000,Jerez
15961100,15961000,Cerveza «lager»
15981100,15981000,Agua mineral sin gas
15981200,15981000,Agua mineral con gas
15981300,15981000,Agua en estado sólido
15981310,15981000,Hielo
15981320,15981000,Nieve
15981400,15981000,Aguas minerales aromatizadas
15982100,15982000,Zumos de fruta concentrados
15982200,15982000,Leche chocolateada
15991100,15991000,Cigarros puros
15991200,15991000,Cigarros pequeños
15991300,15991000,Cigarrillos
15992100,15992000,Tabaco manufacturado
15994100,15994000,Papel de fumar
15994200,15994000,Papel de filtro
16311100,16311000,"Cortadoras de césped para jardines, parques o terrenos de deporte"
16611100,16611000,Máquinas para lavar huevos
16611200,16611000,Máquinas para lavar frutas
16612100,16612000,Máquinas para seleccionar o clasificar huevos
16612200,16612000,Máquinas para seleccionar o clasificar fruta
18132100,18132000,Chaquetas de vuelo
18132200,18132000,Trajes de vuelo
18221100,18221000,Capas impermeables
18221200,18221000,Anoraks
18221300,18221000,Impermeables
18222100,18222000,Trajes y vestidos
18222200,18222000,Conjuntos
18223100,18223000,Chaquetas deportivas
18223200,18223000,Chaquetas
18235100,18235000,Pullovers
18235200,18235000,Cárdigans
18235300,18235000,Chándales
18235400,18235000,Chalecos
18318100,18318000,Camisas de dormir
18318200,18318000,Batas
18318300,18318000,Pijamas
18318400,18318000,Camisetas de punto
18318500,18318000,Camisones
18412100,18412000,Prendas para el entrenamiento deportivo
18412200,18412000,Camisas de deporte
18412300,18412000,Trajes de esquí
18412800,18412000,Trajes y pantalones de baño
18424300,18424000,Guantes desechables
18424400,18424000,Manoplas
18424500,18424000,Guanteletes
18425100,18425000,Bandoleras
18443100,18443000,Bandas antisudor
18443300,18443000,Artículos de sombrerería
18443310,18443000,Boinas
18443320,18443000,Gorras de campo
18443330,18443000,Capuchas
18443340,18443000,Gorras
18443400,18443000,Barboquejos para sombrerería
18443500,18443000,Viseras
18444100,18444000,Tocados de seguridad
18444110,18444000,Cascos
18444111,18444000,Cascos de protección
18444112,18444000,Cascos de ciclista
18444200,18444000,Cascos de seguridad
18451100,18451000,Partes de botones
18511100,18511000,Diamantes
18511200,18511000,Rubíes
18511300,18511000,Esmeraldas
18511400,18511000,Ópalos
18511500,18511000,Cuarzos
18511600,18511000,Turmalinas
18512100,18512000,Monedas
18512200,18512000,Medallas
18513100,18513000,Perlas
18513200,18513000,Artículos de orfebrería de oro
18513300,18513000,Artículos de metales preciosos
18513400,18513000,Artículos de piedras preciosas o simipreciosas
18513500,18513000,Artículos de orfebrería de plata
18521100,18521000,Cristal para relojes de pulsera
18812100,18812000,Sandalias con pala de caucho o de plástico
18812200,18812000,Botas de caucho
18812300,18812000,Calzado de vestir con pala de caucho o de plástico
18812400,18812000,Chancletas
18813100,18813000,Sandalias
18813200,18813000,Pantuflas
18813300,18813000,Calzado de vestir
18815100,18815000,Botines
18815200,18815000,Botas de media caña
18815300,18815000,Botas altas
18815400,18815000,Botas de agua de caña alta
18821100,18821000,Calzado de esquí de fondo
18832100,18832000,Calzado de vuelo
18923100,18923000,Bolsas pequeñas
18923200,18923000,Billeteros
18925100,18925000,Portacantimploras
18925200,18925000,Fundas
18931100,18931000,Mochilas
18933100,18933000,Valijas
18937100,18937000,Bolsas para embalaje
