categoria,clase,nombre
24315000,24310000,Productos químicos inorgánicos diversos
24316000,24310000,Agua destilada
24317000,24310000,Piedras sintéticas
24321000,24320000,Hidrocarburos
24322000,24320000,"Alcoholes, fenoles, alcoholes fenólicos y sus derivados halogenados, sulfonados, nitrados o nitrosados; alcoholes grasos industriales"
24323000,24320000,Ácidos grasos monocarboxílicos industriales
24324000,24320000,Compuestos orgánicos con funciones nitrogenadas
24325000,24320000,Tiocompuestos orgánicos
24326000,24320000,"Aldehído, cetona, peróxidos orgánicos y éteres"
24327000,24320000,Productos químicos orgánicos diversos
24411000,24410000,Ácido nítrico y sus sales
24412000,24410000,Ácidos sulfonítricos
24413000,24410000,Amoníaco
24421000,24420000,Abonos minerales fosfatados
24422000,24420000,Abonos químicos fosfatados
24451000,24450000,Pesticidas
24452000,24450000,Insecticidas
24453000,24450000,Herbicidas
24454000,24450000,Reguladores del crecimiento de las plantas
24455000,24450000,Desinfectantes
24456000,24450000,Rodenticidas
24457000,24450000,Fungicidas
24541000,24540000,Polímeros de acetato de vinilo en formas primarias
24542000,24540000,Polímeros acrílicos en formas primarias
24611000,24610000,Pólvoras de carga de proyección
24612000,24610000,Explosivos diversos
24613000,24610000,"Cohetes de señales, cohetes granífugos, señales para la niebla y artículos de pirotecnia"
24615000,24610000,"Mechas, cápsulas, inflamadores y detonadores eléctricos"
24911000,24910000,Gelatinas
24931000,24930000,Placas y películas fotográficas
24951000,24950000,Grasas y lubricantes
24952000,24950000,Pastas para modelar
24953000,24950000,Agentes de acabado
24954000,24950000,Carbón activado
24955000,24950000,Recipientes inodoros de sustancias químicas
24956000,24950000,Peptonas y sustancias protéicas
24957000,24950000,Aditivos químicos
24958000,24950000,Productos químicos para la industria del petróleo y del gas
24959000,24950000,Aerosoles y productos químicos en forma de disco
24961000,24960000,Fluidos para radiador
24962000,24960000,Productos químicos para tratamiento del agua
24963000,24960000,Productos anticorrosión
24964000,24960000,Glicerol
24965000,24960000,Enzimas
30111000,30110000,Procesadores de texto
30121000,30120000,Fotocopiadoras y aparatos termocopiadores
30122000,30120000,Impresoras offset del tipo de las de oficina
30123000,30120000,Máquinas de oficina
30124000,30120000,Partes y accesorios de máquinas de oficina
30125000,30120000,Partes y accesorios de fotocopiadoras
30131000,30130000,Equipo para procesamiento de correspondencia
30132000,30130000,Equipo para clasificación
30133000,30130000,Equipo para envío de correspondencia
30141000,30140000,Máquinas de calcular
30142000,30140000,Máquinas de contabilidad y cajas registradoras
30144000,30140000,Máquinas del tipo de las de calcular
30145000,30140000,Partes y accesorios de máquinas de calcular
30151000,30150000,Máquinas de escribir electrónicas
30152000,30150000,Partes y accesorios de máquinas de escribir
30161000,30160000,Tarjetas de crédito
30162000,30160000,Tarjetas inteligentes
30163000,30160000,Tarjetas de débito
30171000,30170000,Fechadores y numeradores
30172000,30170000,Máquinas para la impresión de tarjetas de identificación
30173000,30170000,Máquinas para la colocación de etiquetas
30174000,30170000,Máquinas para la elaboración de etiquetas
30175000,30170000,Equipos de rotulación
30176000,30170000,Rotuladoras manuales de cinta
30177000,30170000,Sistemas automáticos de etiquetado
30178000,30170000,Sistemas semiautomáticos de etiquetado
30179000,30170000,Dispensadores de etiquetas
30181000,30180000,Endosadores de cheques
30182000,30180000,Máquinas de escribir cheques
30191000,30190000,Equipos de oficina excepto mobiliario
30192000,30190000,Artículos de oficina
30193000,30190000,Organizadores de despacho y accesorios
30194000,30190000,Artículos de dibujo
30195000,30190000,Tableros
30196000,30190000,Planificadores
30197000,30190000,Material de oficina de pequeña envergadura
30198000,30190000,Máquinas de lotería
30199000,30190000,Artículos de papelería y otros artículos
30211000,30210000,Ordenador «mainframe»
30212000,30210000,Equipo informático para miniordenadores
30213000,30210000,Ordenadores personales
30214000,30210000,Puestos de trabajo
30215000,30210000,Equipo informático para microordenadores
30216000,30210000,Lectores magnéticos u ópticos
30221000,30220000,Planos catastrales digitales
30231000,30230000,Pantallas de ordenador y consolas
30232000,30230000,Periféricos
30233000,30230000,Dispositivos multimedia de almacenamiento y lectura
30234000,30230000,Soportes de almacenamiento
30236000,30230000,Equipo informático diverso
30237000,30230000,"Partes, accesorios y suministros para ordenadores"
30238000,30230000,Equipo de automatización de biblioteca
31111000,31110000,Adaptadores
31121000,31120000,Grupos electrógenos
31122000,31120000,Generadores con máquina impulsora
31124000,31120000,Generador de turbina de vapor y aparatos conexos
31126000,31120000,Dinamos
31127000,31120000,Generadores de emergencia
31128000,31120000,Turbogenerador
31131000,31130000,Motores monofásicos
31132000,31130000,Motores polifásicos
31141000,31140000,Enfriadores de agua
31151000,31150000,Convertidores estáticos
31153000,31150000,Rectificadores
31154000,31150000,Suministros ininterrumpidos de energía
31155000,31150000,Inversores
31156000,31150000,Suministros interrumpibles de energía
31157000,31150000,Inductores
31158000,31150000,Cargadores
31161000,31160000,Partes de motores y generadores eléctricos
31162000,31160000,"Partes de transformadores, inductores y convertidores estáticos"
31171000,31170000,Transformadores dieléctricos líquidos
31172000,31170000,Transformadores de tensión
31173000,31170000,Transformador para aparatos de medida
31174000,31170000,Transformadores de corriente
31211000,31210000,Cuadros y cajas de fusibles
31212000,31210000,Disyuntores
31213000,31210000,Equipo de distribución
31214000,31210000,Conmutadores
31215000,31210000,Limitadores de tensión
31216000,31210000,Dispositivos y equipos de protección contra los rayos
31217000,31210000,Eliminadores de sobrevoltaje
31218000,31210000,Barras ómnibus
31219000,31210000,Cajas de protección
31221000,31220000,Relés eléctricos
31223000,31220000,Portalámparas
31224000,31220000,Conexiones y elementos de contacto
31311000,31310000,Conexiones de red
31321000,31320000,Líneas de energía eléctrica
31341000,31340000,"Tambores para cables, aislados"
31342000,31340000,"Empalmes para cables, aislados"
31343000,31340000,"Juntas para cables, aisladas"
31344000,31340000,"Casquillos para paso de cable, aislados"
31351000,31350000,Conductores eléctricos para sistemas de control de acceso
31411000,31410000,Baterías alcalinas
31421000,31420000,Baterías de plomo
31422000,31420000,Paquetes de baterías
31431000,31430000,Acumuladores ácidos de plomo
31432000,31430000,Acumuladores de níquel-cadmio
31433000,31430000,Acumuladores de níquel-hierro
31434000,31430000,Acumuladores de litio
31511000,31510000,Lámparas de incandescencia halógenas de wolframio
31512000,31510000,Lámparas de incandescencia halógenas de volframio
31514000,31510000,Lámparas y tubos de descarga
31515000,31510000,Lámparas y tubos de rayos ultravioletas
31516000,31510000,Lámparas y tubos de rayos infrarrojos
31517000,31510000,Lámparas de arco eléctrico
31518000,31510000,Luces de señalización
31519000,31510000,Neones y lámparas incandescentes
31521000,31520000,Lámparas
