clase,grupo,nombre
31150000,31100000,Reactancias para lámparas o tubos de descarga
31160000,31100000,"Partes de motores, generadores y transformadores eléctricos"
31170000,31100000,Transformadores
31210000,31200000,Aparatos eléctricos de conmutación o protección de circuitos eléctricos
31220000,31200000,Componentes de circuitos eléctricos
31230000,31200000,Partes de aparatos de distribución o control de electricidad
31310000,31300000,Redes de distribución
31320000,31300000,Cables de distribución eléctrica
31330000,31300000,Cable coaxial
31340000,31300000,"Accesorios de cables, aislados"
31350000,31300000,Conductores eléctricos para datos y control
31410000,31400000,Pilas
31420000,31400000,Baterías de pilas
31430000,31400000,Acumuladores eléctricos
31440000,31400000,Baterías
31510000,31500000,Lámparas eléctricas de filamento
31520000,31500000,Lámparas y accesorios de iluminación
31530000,31500000,Partes de lámparas y material de alumbrado
31610000,31600000,Material eléctrico para motores y vehículos
31620000,31600000,Aparatos de señalización acústica o visual
31630000,31600000,Imanes
31640000,31600000,Máquinas y aparatos con una función propia
31650000,31600000,Accesorios de aislamiento
31660000,31600000,Electrodos de carbón
31670000,31600000,Partes eléctricas de maquinaria o aparatos
31680000,31600000,Materiales y accesorios eléctricos
31710000,31700000,Equipo electrónico
31720000,31700000,Equipo electromecánico
31730000,31700000,Equipo electrotécnico
32210000,32200000,Equipo de radiodifusión
32220000,32200000,Aparatos transmisores de televisión sin receptor
32230000,32200000,Radiotransmisores con receptor
32240000,32200000,Cámaras de televisión
32250000,32200000,Teléfonos móviles
32260000,32200000,Equipo de transmisión de datos
32270000,32200000,Aparatos de transmisión digital
32310000,32300000,Receptores de radiodifusión
32320000,32300000,Equipo audiovisual y de televisión
32330000,32300000,Aparatos de grabación y reproducción de imágenes y sonido
32340000,32300000,Micrófonos y altavoces
32350000,32300000,Partes de equipo de sonido y vídeo
32360000,32300000,Equipo de intercomunicación
32410000,32400000,Red de área local
32420000,32400000,Equipo de red
32430000,32400000,Red de área extendida
32440000,32400000,Equipo de telemetría y equipo terminal
32510000,32500000,Sistema inalámbrico de telecomunicaciones
32520000,32500000,Equipo y cable de telecomunicaciones
32530000,32500000,Equipo del tipo usado para comunicaciones por satélite
32540000,32500000,Cuadros de conmutadores
32550000,32500000,Equipo telefónico
32560000,32500000,Materiales de fibra óptica
32570000,32500000,Equipo de comunicaciones
32580000,32500000,Equipo de datos
33110000,33100000,"Equipos de imaginería para uso médico, odontológico y veterinario"
33120000,33100000,Dispositivos de exploración y registro
33130000,33100000,Instrumental y aparatos de odontología y sus especialidades
33140000,33100000,Material médico fungible
33150000,33100000,"Aparatos de radioterapia, mecanoterapia, electroterapia y fisioterapia"
33160000,33100000,Técnicas operatorias
33170000,33100000,Anestesia y reanimación
33180000,33100000,Asistencia funcional
33190000,33100000,Instrumentos y aparatos médicos diversos
33610000,33600000,Medicamentos para el aparato digestivo y el metabolismo
33620000,33600000,"Medicamentos para la sangre, para los órganos hematopoyéticos y para el aparato cardiovascular"
33630000,33600000,Medicamentos usados en dermatología y para el sistema musculo-esquelético
33640000,33600000,Medicamentos para el sistema génito-urinario y hormonas
33650000,33600000,"Antiinfecciosos generales para uso sistémico, vacunas, antineoplásicos e inmunomoduladores"
33660000,33600000,Medicamentos para el sistema nervioso y los órganos de los sentidos
33670000,33600000,Medicamentos para el aparato respiratorio
33680000,33600000,Artículos farmacéuticos
33690000,33600000,Medicamentos diversos
33710000,33700000,"Perfumes, artículos de tocador y preservativos"
33720000,33700000,Cuchillas y estuches de manicura o pedicura
33730000,33700000,Productos para el cuidado de los ojos y lentes correctoras
33740000,33700000,Productos para el cuidado de manos y uñas
33750000,33700000,Productos para el cuidado del bebé
33760000,33700000,"Papel higiénico, pañuelos, toallas y servilletas"
33770000,33700000,Artículos de papel para uso sanitario e higiénico
33790000,33700000,"Artículos de vidrio para laboratorio, higiene o farmacia"
33910000,33900000,Instrumental y material para disección anatomopatológica
33920000,33900000,Equipo y suministros para autopsia
33930000,33900000,Mobiliario para autopsia
33940000,33900000,Equipos y material para el transporte y depósito de cadáveres
33950000,33900000,Equipo y material para medicina legal
33960000,33900000,Equipo y material de embalsamamiento
33970000,33900000,Equipo y material para cadáveres
34110000,34100000,Automóviles para pasajeros
34120000,34100000,Vehículos de motor para el transporte de diez o más personas
34130000,34100000,Vehículos de motor para el transporte de mercancías
34140000,34100000,Vehículos pesados
34150000,34100000,Simuladores
34210000,34200000,Carrocerías para vehículos
34220000,34200000,"Remolques, semirremolques y contenedores móviles"
34310000,34300000,Motores y piezas de motores (vehículos)
